Instruction,kind/turtle,num/octo,move/weather,bronze,silver,gold,,
levSettings,FALSE,FALSE,0,300,350,1000,1,"first sequence easy intro gradient, smooth weather"
addFish,STANDARD,3,,,,,,
levSettings,FALSE,FALSE,1,100,150,200,2,
addFish,STANDARD,2,,,,,,
addFish,SHIFTY,1,,,,,,
addFish,GOLD,1,,,,,,
levSettings,TRUE,FALSE,0,100,150,200,3,
addFish,STANDARD,1,,,,,,
addFish,BLOWFISH,1,,,,,,
addFish,TINY,2,,,,,,
levSettings,FALSE,FALSE,1,100,150,200,4,
addFish,STANDARD,2,,,,,,
addFish,SHIFTY,2,,,,,,
levSettings,TRUE,FALSE,1,100,150,200,5,
addFish,TINY,3,,,,,,
addFish,GOLD,2,,,,,,
levSettings,FALSE,FALSE,1,100,150,200,6,
addFish,STANDARD,2,,,,,,
addFish,TINY,2,,,,,,
addFish,SHIFTY,2,,,,,,
addFish,SWORDFISH,1,,,,,,
levSettings,TRUE,FALSE,0,100,150,200,7,
addFish,BLOWFISH,2,,,,,,
addFish,GOLD,4,,,,,,
NEXT_LEVEL_SET,________________________________________________________________________________,,,,,,,"second sequence has rough weather, more medium"
levSettings,FALSE,TRUE,1,300,350,1000,1,
addFish,STANDARD,3,,,,,,
levSettings,FALSE,TRUE,0,100,150,200,2,
addFish,SHIFTY,5,,,,,,
levSettings,TRUE,FALSE,1,100,150,200,3,
addFish,STANDARD,1,,,,,,
addFish,BLOWFISH,1,,,,,,
addFish,TINY,2,,,,,,
levSettings,FALSE,TRUE,1,100,150,200,4,
addFish,STANDARD,3,,,,,,
addFish,SHIFTY,2,,,,,,
levSettings,TRUE,FALSE,2,100,150,200,5,
addFish,TINY,3,,,,,,
addFish,BLOWFISH,3,,,,,,
levSettings,FALSE,TRUE,1,100,150,200,6,
addFish,STANDARD,2,,,,,,
addFish,TINY,3,,,,,,
addFish,SHIFTY,2,,,,,,
addFish,SWORDFISH,1,,,,,,
levSettings,TRUE,FALSE,1,100,150,200,7,
addFish,BLOWFISH,2,,,,,,
addFish,GOLD,5,,,,,,
levSettings,TRUE,FALSE,1,100,150,200,8,
addFish,STANDARD,3,,,,,,
addFish,SHIFTY,1,,,,,,
addFish,TINY,2,,,,,,
addFish,GOLD,1,,,,,,
levSettings,TRUE,TRUE,0,100,150,200,9,
addFish,SHIFTY,3,,,,,,
addFish,TINY,3,,,,,,
levSettings,TRUE,FALSE,0,100,150,200,10,
addFish,STANDARD,4,,,,,,
addFish,SHIFTY,2,,,,,,
addFish,BLOWFISH,1,,,,,,
levSettings,FALSE,TRUE,1,100,150,200,11,
addFish,TINY,3,,,,,,
addFish,SWORDFISH,2,,,,,,
levSettings,FALSE,FALSE,2,100,150,200,12,
addFish,GOLD,2,,,,,,
addFish,STANDARD,3,,,,,,
levSettings,TRUE,TRUE,3,100,150,200,13,
addFish,STANDARD,3,,,,,,
addFish,BLOWFISH,2,,,,,,
addFish,TINY,1,,,,,,
addFish,GOLD,1,,,,,,
levSettings,TRUE,TRUE,2,100,150,200,14,
addFish,SWORDFISH,1,,,,,,
addFish,SHIFTY,3,,,,,,
addFish,TINY,3,,,,,,
NEXT_LEVEL_SET,________________________________________________________________________________,,,,,,,"three week trip is more challenging goals, snipe levels, weather"
levSettings,TRUE,TRUE,3,300,350,1000,1,
addFish,GOLD,2,,,,,,
addFish,SWORDFISH,1,,,,,,
levSettings,TRUE,TRUE,3,100,150,200,2,
addFish,SHIFTY,5,,,,,,
levSettings,TRUE,FALSE,3,100,150,200,3,
addFish,SHIFTY,2,,,,,,
addFish,TINY,2,,,,,,
addFish,BLOWFISH,2,,,,,,
levSettings,FALSE,TRUE,2,100,150,200,4,
addFish,STANDARD,2,,,,,,
addFish,GOLD,3,,,,,,
addFish,SWORDFISH,1,,,,,,
levSettings,TRUE,TRUE,2,100,150,200,5,
addFish,TINY,5,,,,,,
addFish,BLOWFISH,5,,,,,,
levSettings,FALSE,TRUE,3,100,150,200,6,
addFish,STANDARD,4,,,,,,
addFish,TINY,2,,,,,,
addFish,SHIFTY,2,,,,,,
levSettings,TRUE,FALSE,3,100,150,200,7,
addFish,BLOWFISH,2,,,,,,
addFish,GOLD,5,,,,,,
levSettings,TRUE,FALSE,3,100,150,200,8,
addFish,STANDARD,3,,,,,,
addFish,SHIFTY,1,,,,,,
addFish,TINY,2,,,,,,
addFish,GOLD,1,,,,,,
levSettings,TRUE,TRUE,2,100,150,200,9,
addFish,SHIFTY,3,,,,,,
addFish,TINY,3,,,,,,
levSettings,TRUE,FALSE,1,100,150,200,10,
addFish,STANDARD,4,,,,,,
addFish,SHIFTY,2,,,,,,
addFish,BLOWFISH,1,,,,,,
levSettings,FALSE,TRUE,2,100,150,200,11,
addFish,TINY,3,,,,,,
addFish,SWORDFISH,2,,,,,,
levSettings,FALSE,FALSE,3,100,150,200,12,
addFish,GOLD,2,,,,,,
addFish,STANDARD,3,,,,,,
levSettings,TRUE,TRUE,2,100,150,200,13,
addFish,STANDARD,1,,,,,,
addFish,TINY,3,,,,,,
addFish,GOLD,1,,,,,,
levSettings,TRUE,TRUE,3,100,150,200,14,
addFish,SWORDFISH,1,,,,,,
addFish,SHIFTY,3,,,,,,
addFish,TINY,1,,,,,,
addFish,GOLD,2,,,,,,
levSettings,FALSE,TRUE,2,100,150,200,15,
addFish,GOLD,5,,,,,,
levSettings,FALSE,TRUE,3,100,150,200,16,
addFish,BLOWFISH,2,,,,,,
addFish,SHIFTY,2,,,,,,
addFish,STANDARD,2,,,,,,
levSettings,TRUE,TRUE,2,100,150,200,17,
addFish,TINY,3,,,,,,
addFish,SHIFTY,3,,,,,,
levSettings,TRUE,TRUE,1,100,150,200,18,
addFish,STANDARD,4,,,,,,
